Date,Open,High,Low,Close,Adj Close,Volume
2025-07-03,1007.35,1027.70,997.17,1017.52,1017.52,416275
2025-07-04,998.77,1018.94,988.68,1008.85,1008.85,129045
2025-07-05,993.44,1013.51,983.40,1003.47,1003.47,347993
2025-07-06,1011.02,1031.45,1000.81,1021.24,1021.24,204779
2025-07-07,1029.85,1050.66,1019.45,1040.25,1040.25,167444
2025-07-08,1013.36,1033.83,1003.12,1023.60,1023.60,399847
2025-07-09,1024.22,1044.91,1013.87,1034.56,1034.56,224961
2025-07-10,1016.25,1036.78,1005.98,1026.51,1026.51,302711
2025-07-11,1010.90,1031.32,1000.69,1021.11,1021.11,343419
2025-07-12,1018.96,1039.54,1008.67,1029.25,1029.25,456474
2025-07-13,1008.07,1028.44,997.89,1018.25,1018.25,282336
2025-07-14,988.83,1008.80,978.84,998.81,998.81,398388
2025-07-15,975.98,995.70,966.12,985.84,985.84,365770
2025-07-16,959.55,978.93,949.85,969.24,969.24,277610
2025-07-17,947.72,966.87,938.15,957.30,957.30,382232
2025-07-18,962.37,981.82,952.65,972.10,972.10,299127
2025-07-19,950.85,970.06,941.24,960.45,960.45,150992
2025-07-20,962.47,981.91,952.75,972.19,972.19,411832
2025-07-21,962.98,982.43,953.25,972.70,972.70,212510
2025-07-22,946.74,965.87,937.18,956.31,956.31,338483
2025-07-23,959.64,979.03,949.95,969.33,969.33,119061
2025-07-24,940.85,959.86,931.35,950.36,950.36,407534
2025-07-25,951.22,970.44,941.62,960.83,960.83,263357
2025-07-26,960.90,980.31,951.19,970.60,970.60,300531
2025-07-27,971.69,991.32,961.87,981.50,981.50,145746
2025-07-28,964.43,983.91,954.69,974.17,974.17,483575
2025-07-29,966.72,986.25,956.96,976.49,976.49,257903
2025-07-30,955.34,974.64,945.69,964.99,964.99,199271
2025-07-31,954.29,973.57,944.65,963.93,963.93,321435
2025-08-01,966.15,985.67,956.39,975.91,975.91,478205
2025-08-02,983.66,1003.53,973.72,993.60,993.60,220852
2025-08-03,998.73,1018.91,988.64,1008.82,1008.82,134524
2025-08-04,984.56,1004.45,974.61,994.50,994.50,461720
2025-08-05,996.93,1017.07,986.86,1007.00,1007.00,115409
2025-08-06,992.71,1012.76,982.68,1002.74,1002.74,350337
2025-08-07,986.96,1006.90,976.99,996.93,996.93,151627
2025-08-08,975.91,995.63,966.05,985.77,985.77,315928
2025-08-09,961.10,980.52,951.39,970.81,970.81,267270
2025-08-10,974.38,994.06,964.53,984.22,984.22,462214
2025-08-11,978.78,998.55,968.89,988.67,988.67,275135
2025-08-12,986.42,1006.35,976.45,996.38,996.38,185246
2025-08-13,975.65,995.36,965.79,985.50,985.50,481771
2025-08-14,959.24,978.62,949.55,968.93,968.93,402296
2025-08-15,958.76,978.13,949.08,968.45,968.45,269876
2025-08-16,973.33,992.99,963.50,983.16,983.16,422533
2025-08-17,979.12,998.90,969.23,989.01,989.01,367606
2025-08-18,976.29,996.01,966.43,986.15,986.15,353385
2025-08-19,968.65,988.22,958.87,978.44,978.44,224880
2025-08-20,956.56,975.89,946.90,966.23,966.23,149958
2025-08-21,954.13,973.41,944.49,963.77,963.77,172926
2025-08-22,959.40,978.78,949.71,969.09,969.09,344791
2025-08-23,958.03,977.39,948.36,967.71,967.71,491706
2025-08-24,974.44,994.13,964.60,984.28,984.28,486817
2025-08-25,958.09,977.44,948.41,967.77,967.77,491092
2025-08-26,949.26,968.44,939.67,958.85,958.85,199247
2025-08-27,965.86,985.38,956.11,975.62,975.62,188762
2025-08-28,965.14,984.64,955.40,974.89,974.89,264405
2025-08-29,945.98,965.09,936.42,955.53,955.53,215161
2025-08-30,952.57,971.82,942.95,962.19,962.19,180407
2025-08-31,937.02,955.95,927.56,946.48,946.48,159612
